ARCHIVO,TAMANO_BYTES,SHA256
salidas_proyecto_1\datos\datos_crudos_establecimientos_diversificado.csv,3189742,f07e6a2558f24a207e2bcfc8bd878c660ca2f414e7683b4de884accb23cf7ce1
salidas_proyecto_1\datos\establecimientos_diversificado_limpio.csv,8735022,5a29e0398e5fd530717509f64728737374311e2b058488cfda2b6252dce8d633
salidas_proyecto_1\datos\establecimientos_diversificado_limpio_analitico.csv,5240665,c036a2263b167b24e0b5031fbb5104db149a338422e3723d5098720a530c3dfa
salidas_proyecto_1\datos\bitacora_cambios_detalle.csv,12723596,3e3369b36a9cc8ea4a27c04d1e1118286a02d08deab3a7cd5a8c2838e945632b
salidas_proyecto_1\datos\bitacora_reglas_resumen.csv,2372,2f856e2a72ffe69be168c56f552069a31787f0f6d7d68846e8eef314dd9102df
salidas_proyecto_1\datos\libro_codigos.csv,9730,f63957cfe6acd51d8250e6bd3326ca44f67cfc8888080d58058cf718d9f2767b
salidas_proyecto_1\datos\catalogos_codificacion.csv,4735,ec322357613ec6e660c343b3711b323405a98edd480ee470a56242ae25214f7a
salidas_proyecto_1\datos\controles_calidad.csv,759,173b67aa0c41c02602c2b44eeb575d57eb70fa1e1b7c91476adfa125daa07f0a
salidas_proyecto_1\datos\perfil_datos_crudos.csv,679,d9f73ad9f35910c02acfc0a7b32f3bad90638d26d782db64eea098f965f00e6e
salidas_proyecto_1\datos\manifiesto_archivos_crudos.csv,1793,9709e193a17f8f5b9cffa8187e5f3d2cac6294e1a119d6c2ee425b3455ebd174
