PAR_ID,CODIGO_A,CODIGO_B,DEPARTAMENTO,MUNICIPIO_ZONA,ESTABLECIMIENTO_A,ESTABLECIMIENTO_B,SIMILITUD,TIPO_COINCIDENCIA,MISMA_DIRECCION,MISMO_TELEFONO,MISMO_SERVICIO_VISIBLE,DECISION,REVISION_MANUAL_RECOMENDADA,JUSTIFICACION,FILAS_ELIMINADAS
PD00001,16-14-0054-46,16-14-0112-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00002,16-14-0054-46,16-14-0113-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00003,16-14-0054-46,16-14-0114-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00004,16-14-0054-46,16-14-0115-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00005,16-14-0054-46,16-14-0116-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00006,16-14-0054-46,16-14-0117-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00007,16-14-0054-46,16-14-0118-46,Alta Verapaz,Chahal,Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,0.9447,Nombre similar,0,0,0,CONSERVAR_SERVICIOS_DISTINTOS,0,"El nombre es igual o similar, pero cambian atributos autorizados del servicio; no corresponde eliminar por nombre.",0
PD00008,16-14-0112-46,16-14-0113-46,Alta Verapaz,Chahal,INED Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,1.0,Nombre equivalente,0,0,1,CONSERVAR_CODIGOS_DISTINTOS,1,Los códigos MINEDUC son únicos y no existe evidencia suficiente para fusionar registros.,0
PD00009,16-14-0112-46,16-14-0114-46,Alta Verapaz,Chahal,INED Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,1.0,Nombre equivalente,0,0,1,CONSERVAR_CODIGOS_DISTINTOS,1,Los códigos MINEDUC son únicos y no existe evidencia suficiente para fusionar registros.,0
PD00010,16-14-0112-46,16-14-0115-46,Alta Verapaz,Chahal,INED Instituto Nacional de Educación Diversificada,INED Instituto Nacional de Educación Diversificada,1.0,Nombre equivalente,0,0,1,CONSERVAR_CODIGOS_DISTINTOS,1,Los códigos MINEDUC son únicos y no existe evidencia suficiente para fusionar registros.,0
