DEPARTAMENTO_COD,DEPARTAMENTO,MUNICIPIO_COD_FUENTE,MUNICIPIO,TIPO_REGISTRO,FUENTE_CATALOGO,REFERENCIA_URL,COBERTURA
01,Guatemala,01-01,Guatemala,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-02,Santa Catarina Pinula,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-03,San José Pinula,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-04,San José del Golfo,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-05,Palencia,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-06,Chinautla,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-07,San Pedro Ayampuc,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-08,Mixco,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-09,San Pedro Sacatepéquez,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
01,Guatemala,01-10,San Juan Sacatepéquez,Municipio observado con Diversificado,Snapshot MINEDUC; referencia nacional SEGEPLAN 2026,https://datos.segeplan.gob.gt/es/dataset/calculo-matematico-para-la-asignacion-constitucional-a-las-municipalidades-2026,334/340 municipios nacionales + 22 zonas capitalinas
